uid,data
dummy,dummy
1535706002173,"{""uid"":1535706002173,""townSize"":""Nad 50 000 obyvatel"",""score"":15135,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535699221002,"{""uid"":1535699221002,""townSize"":""none"",""score"":16029,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535712925987,"{""uid"":1535712925987,""townSize"":""Nad 50 000 obyvatel"",""score"":15160,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535704782219,"{""uid"":1535704782219,""townSize"":""none"",""score"":15669,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535706443916,"{""uid"":1535706443916,""townSize"":""Nad 50 000 obyvatel"",""score"":16042,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535710729894,"{""uid"":1535710729894,""townSize"":""5 000–50 000 obyvatel"",""score"":15397,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535707872275,"{""uid"":1535707872275,""townSize"":""Nad 50 000 obyvatel"",""score"":16073,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535711206005,"{""uid"":1535711206005,""townSize"":""Nad 50 000 obyvatel"",""score"":14848,""evilness"":false,""gender"":""Žena"",""age"":""Přes 35 let""}"
1535710067341,"{""uid"":1535710067341,""townSize"":""Nad 50 000 obyvatel"",""score"":15156,""evilness"":false,""gender"":""Muž"",""age"":""18–35 let""}"
1535696205662,"{""uid"":1535696205662,""townSize"":""none"",""score"":15820,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535709619481,"{""uid"":1535709619481,""townSize"":""Nad 50 000 obyvatel"",""score"":15322,""evilness"":false,""gender"":""Žena"",""age"":""18–35 let""}"
1535702020176,"{""uid"":1535702020176,""townSize"":""none"",""score"":15864,""evilness"":true,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535701623009,"{""uid"":1535701623009,""townSize"":""none"",""score"":15985,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535708784039,"{""uid"":1535708784039,""townSize"":""Nad 50 000 obyvatel"",""score"":15614,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535712828061,"{""uid"":1535712828061,""townSize"":""Nad 50 000 obyvatel"",""score"":15875,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535706355297,"{""uid"":1535706355297,""townSize"":""Nad 50 000 obyvatel"",""score"":16002,""evilness"":false,""gender"":""Žena"",""age"":""18–35 let""}"
1535698615072,"{""uid"":1535698615072,""townSize"":""none"",""score"":15816,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535699768312,"{""uid"":1535699768312,""townSize"":""none"",""score"":15367,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535710266958,"{""uid"":1535710266958,""townSize"":""Nad 50 000 obyvatel"",""score"":15825,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535703203755,"{""uid"":1535703203755,""townSize"":""none"",""score"":16010,""evilness"":true,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535711847826,"{""uid"":1535711847826,""townSize"":""5 000–50 000 obyvatel"",""score"":15011,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535709240749,"{""uid"":1535709240749,""townSize"":""5 000–50 000 obyvatel"",""score"":15706,""evilness"":true,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535712334544,"{""uid"":1535712334544,""townSize"":""Nad 50 000 obyvatel"",""score"":15817,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535708534730,"{""uid"":1535708534730,""townSize"":""Nad 50 000 obyvatel"",""score"":15730,""evilness"":true,""gender"":""Žena"",""age"":""Do 18 let""}"
1535707378373,"{""uid"":1535707378373,""townSize"":""none"",""score"":16196,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535701348529,"{""uid"":1535701348529,""townSize"":""none"",""score"":16006,""evilness"":true,""gender"":""Žena"",""age"":""Přes 35 let""}"
1535700201412,"{""uid"":1535700201412,""townSize"":""none"",""score"":16000,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535715458566,"{""uid"":1535715458566,""townSize"":""Nad 50 000 obyvatel"",""score"":14856,""evilness"":true,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535697867378,"{""uid"":1535697867378,""townSize"":""none"",""score"":15240,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535716096747,"{""uid"":1535716096747,""townSize"":""Pod 5 000 obyvatel"",""score"":15854,""evilness"":true,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535714402160,"{""uid"":1535714402160,""townSize"":""Pod 5 000 obyvatel"",""score"":15360,""evilness"":true,""gender"":""Muž"",""age"":""Do 18 let""}"
1535707256432,"{""uid"":1535707256432,""townSize"":""Nad 50 000 obyvatel"",""score"":15043,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535704387322,"{""uid"":1535704387322,""townSize"":""none"",""score"":15365,""evilness"":false,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535705532060,"{""uid"":1535705532060,""townSize"":""Nad 50 000 obyvatel"",""score"":15533,""evilness"":false,""gender"":""Muž"",""age"":""18–35 let""}"
1535695371069,"{""uid"":1535695371069,""townSize"":""none"",""score"":16016,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535704918592,"{""uid"":1535704918592,""townSize"":""none"",""score"":16239,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535707017718,"{""uid"":1535707017718,""townSize"":""5 000–50 000 obyvatel"",""score"":15825,""evilness"":true,""gender"":""Muž"",""age"":""Do 18 let""}"
1535715484631,"{""uid"":1535715484631,""townSize"":""5 000–50 000 obyvatel"",""score"":16196,""evilness"":true,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535711964289,"{""uid"":1535711964289,""townSize"":""Nad 50 000 obyvatel"",""score"":14902,""evilness"":false,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535710185948,"{""uid"":1535710185948,""townSize"":""none"",""score"":14880,""evilness"":true,""gender"":""none"",""age"":""none""}"
1535699054705,"{""uid"":1535699054705,""townSize"":""none"",""score"":16009,""evilness"":true,""gender"":""none"",""age"":""none""}"
1535708821909,"{""uid"":1535708821909,""townSize"":""Nad 50 000 obyvatel"",""score"":16220,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535711828390,"{""uid"":1535711828390,""townSize"":""none"",""score"":15822,""evilness"":true,""gender"":""none"",""age"":""none""}"
1535702320313,"{""uid"":1535702320313,""townSize"":""none"",""score"":15415,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535708071320,"{""uid"":1535708071320,""townSize"":""Nad 50 000 obyvatel"",""score"":16201,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535714696133,"{""uid"":1535714696133,""townSize"":""5 000–50 000 obyvatel"",""score"":16036,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
