uid,data
1535709525270,"{""uid"":1535709525270,""townSize"":""Nad 50 000 obyvatel"",""score"":15815,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535713959633,"{""uid"":1535713959633,""townSize"":""none"",""score"":16211,""evilness"":true,""gender"":""none"",""age"":""none""}"
1535716179820,"{""uid"":1535716179820,""townSize"":""5 000–50 000 obyvatel"",""score"":15576,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535715137089,"{""uid"":1535715137089,""townSize"":""Nad 50 000 obyvatel"",""score"":15563,""evilness"":false,""gender"":""Muž"",""age"":""18–35 let""}"
1535704882211,"{""uid"":1535704882211,""townSize"":""none"",""score"":15481,""evilness"":false,""gender"":""Žena"",""age"":""18–35 let""}"
1535709762929,"{""uid"":1535709762929,""townSize"":""Nad 50 000 obyvatel"",""score"":15229,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535711363391,"{""uid"":1535711363391,""townSize"":""Nad 50 000 obyvatel"",""score"":15121,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535706089649,"{""uid"":1535706089649,""townSize"":""Pod 5 000 obyvatel"",""score"":15633,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535715731525,"{""uid"":1535715731525,""townSize"":""Nad 50 000 obyvatel"",""score"":14920,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535711216233,"{""uid"":1535711216233,""townSize"":""Nad 50 000 obyvatel"",""score"":15634,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535713912673,"{""uid"":1535713912673,""townSize"":""Pod 5 000 obyvatel"",""score"":14369,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535708466484,"{""uid"":1535708466484,""townSize"":""none"",""score"":14400,""evilness"":false,""gender"":""none"",""age"":""none""}"
1535699298796,"{""uid"":1535699298796,""townSize"":""none"",""score"":15840,""evilness"":true,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535715455173,"{""uid"":1535715455173,""townSize"":""Pod 5 000 obyvatel"",""score"":16210,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535702349601,"{""uid"":1535702349601,""townSize"":""none"",""score"":15862,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535702923434,"{""uid"":1535702923434,""townSize"":""none"",""score"":15791,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535715341500,"{""uid"":1535715341500,""townSize"":""Nad 50 000 obyvatel"",""score"":15721,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535704919446,"{""uid"":1535704919446,""townSize"":""none"",""score"":15472,""evilness"":false,""gender"":""Muž"",""age"":""18–35 let""}"
1535709834285,"{""uid"":1535709834285,""townSize"":""Pod 5 000 obyvatel"",""score"":15994,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535713505401,"{""uid"":1535713505401,""townSize"":""5 000–50 000 obyvatel"",""score"":15853,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535712958095,"{""uid"":1535712958095,""townSize"":""5 000–50 000 obyvatel"",""score"":16027,""evilness"":true,""gender"":""Žena"",""age"":""Přes 35 let""}"
1535709392593,"{""uid"":1535709392593,""townSize"":""Nad 50 000 obyvatel"",""score"":15923,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535706506919,"{""uid"":1535706506919,""townSize"":""none"",""score"":15463,""evilness"":true,""gender"":""none"",""age"":""none""}"
1535706725710,"{""uid"":1535706725710,""townSize"":""Nad 50 000 obyvatel"",""score"":16000,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535704884300,"{""uid"":1535704884300,""townSize"":""none"",""score"":14986,""evilness"":false,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535715244710,"{""uid"":1535715244710,""townSize"":""5 000–50 000 obyvatel"",""score"":16252,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535708845603,"{""uid"":1535708845603,""townSize"":""Nad 50 000 obyvatel"",""score"":16003,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535708389986,"{""uid"":1535708389986,""townSize"":""5 000–50 000 obyvatel"",""score"":16011,""evilness"":true,""gender"":""Muž"",""age"":""Do 18 let""}"
1535709784231,"{""uid"":1535709784231,""townSize"":""Nad 50 000 obyvatel"",""score"":15823,""evilness"":true,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535714989708,"{""uid"":1535714989708,""townSize"":""5 000–50 000 obyvatel"",""score"":15462,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535712300290,"{""uid"":1535712300290,""townSize"":""Nad 50 000 obyvatel"",""score"":15414,""evilness"":false,""gender"":""Žena"",""age"":""18–35 let""}"
1535715453717,"{""uid"":1535715453717,""townSize"":""5 000–50 000 obyvatel"",""score"":16073,""evilness"":true,""gender"":""Muž"",""age"":""Do 18 let""}"
1535701420395,"{""uid"":1535701420395,""townSize"":""none"",""score"":15200,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535702202508,"{""uid"":1535702202508,""townSize"":""none"",""score"":16187,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535708309594,"{""uid"":1535708309594,""townSize"":""Nad 50 000 obyvatel"",""score"":16187,""evilness"":true,""gender"":""Muž"",""age"":""Do 18 let""}"
1535710367898,"{""uid"":1535710367898,""townSize"":""Nad 50 000 obyvatel"",""score"":15365,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535710200725,"{""uid"":1535710200725,""townSize"":""Nad 50 000 obyvatel"",""score"":15820,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535710153825,"{""uid"":1535710153825,""townSize"":""Nad 50 000 obyvatel"",""score"":16000,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535713636776,"{""uid"":1535713636776,""townSize"":""Nad 50 000 obyvatel"",""score"":15644,""evilness"":true,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535713188628,"{""uid"":1535713188628,""townSize"":""5 000–50 000 obyvatel"",""score"":16201,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535714065140,"{""uid"":1535714065140,""townSize"":""Pod 5 000 obyvatel"",""score"":15943,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535703208465,"{""uid"":1535703208465,""townSize"":""none"",""score"":15381,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535700537382,"{""uid"":1535700537382,""townSize"":""none"",""score"":15908,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535714848813,"{""uid"":1535714848813,""townSize"":""Nad 50 000 obyvatel"",""score"":16000,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535706773770,"{""uid"":1535706773770,""townSize"":""Pod 5 000 obyvatel"",""score"":13651,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535714557932,"{""uid"":1535714557932,""townSize"":""Nad 50 000 obyvatel"",""score"":14323,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535713475741,"{""uid"":1535713475741,""townSize"":""Nad 50 000 obyvatel"",""score"":15605,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535711590794,"{""uid"":1535711590794,""townSize"":""Nad 50 000 obyvatel"",""score"":15806,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535704206282,"{""uid"":1535704206282,""townSize"":""none"",""score"":15857,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535700099197,"{""uid"":1535700099197,""townSize"":""none"",""score"":15609,""evilness"":false,""gender"":""Žena"",""age"":""18–35 let""}"
1535711583929,"{""uid"":1535711583929,""townSize"":""none"",""score"":15659,""evilness"":true,""gender"":""none"",""age"":""none""}"
1535712391528,"{""uid"":1535712391528,""townSize"":""Nad 50 000 obyvatel"",""score"":15028,""evilness"":true,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535711785152,"{""uid"":1535711785152,""townSize"":""none"",""score"":15887,""evilness"":false,""gender"":""Muž"",""age"":""18–35 let""}"
1535705260034,"{""uid"":1535705260034,""townSize"":""none"",""score"":15114,""evilness"":true,""gender"":""Žena"",""age"":""Přes 35 let""}"
1535713935754,"{""uid"":1535713935754,""townSize"":""Pod 5 000 obyvatel"",""score"":16009,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535699505934,"{""uid"":1535699505934,""townSize"":""none"",""score"":15850,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535714736051,"{""uid"":1535714736051,""townSize"":""none"",""score"":16220,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535716066229,"{""uid"":1535716066229,""townSize"":""Nad 50 000 obyvatel"",""score"":15585,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535706092354,"{""uid"":1535706092354,""townSize"":""5 000–50 000 obyvatel"",""score"":16006,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535713484983,"{""uid"":1535713484983,""townSize"":""none"",""score"":15298,""evilness"":false,""gender"":""none"",""age"":""none""}"
1535704939417,"{""uid"":1535704939417,""townSize"":""5 000–50 000 obyvatel"",""score"":15792,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535713997887,"{""uid"":1535713997887,""townSize"":""Pod 5 000 obyvatel"",""score"":14125,""evilness"":false,""gender"":""Muž"",""age"":""18–35 let""}"
1535704634954,"{""uid"":1535704634954,""townSize"":""none"",""score"":15717,""evilness"":true,""gender"":""none"",""age"":""none""}"
1535711122928,"{""uid"":1535711122928,""townSize"":""Nad 50 000 obyvatel"",""score"":15829,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535715556743,"{""uid"":1535715556743,""townSize"":""Nad 50 000 obyvatel"",""score"":15687,""evilness"":false,""gender"":""Muž"",""age"":""18–35 let""}"
1535705787331,"{""uid"":1535705787331,""townSize"":""Pod 5 000 obyvatel"",""score"":15864,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535698686538,"{""uid"":1535698686538,""townSize"":""none"",""score"":15704,""evilness"":true,""gender"":""Muž"",""age"":""Do 18 let""}"
1535707951304,"{""uid"":1535707951304,""townSize"":""Nad 50 000 obyvatel"",""score"":15337,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535703356062,"{""uid"":1535703356062,""townSize"":""none"",""score"":15110,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535706024944,"{""uid"":1535706024944,""townSize"":""Nad 50 000 obyvatel"",""score"":15614,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535711320723,"{""uid"":1535711320723,""townSize"":""Pod 5 000 obyvatel"",""score"":14578,""evilness"":false,""gender"":""Muž"",""age"":""18–35 let""}"
1535703935736,"{""uid"":1535703935736,""townSize"":""none"",""score"":15806,""evilness"":true,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535714675216,"{""uid"":1535714675216,""townSize"":""Nad 50 000 obyvatel"",""score"":15610,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535706670461,"{""uid"":1535706670461,""townSize"":""Nad 50 000 obyvatel"",""score"":15829,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535701981666,"{""uid"":1535701981666,""townSize"":""none"",""score"":15627,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535706456976,"{""uid"":1535706456976,""townSize"":""Nad 50 000 obyvatel"",""score"":14830,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535713163277,"{""uid"":1535713163277,""townSize"":""Nad 50 000 obyvatel"",""score"":14857,""evilness"":true,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535706974445,"{""uid"":1535706974445,""townSize"":""Nad 50 000 obyvatel"",""score"":15840,""evilness"":true,""gender"":""Žena"",""age"":""Přes 35 let""}"
1535703929856,"{""uid"":1535703929856,""townSize"":""none"",""score"":16026,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535713300286,"{""uid"":1535713300286,""townSize"":""5 000–50 000 obyvatel"",""score"":16009,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535704546519,"{""uid"":1535704546519,""townSize"":""none"",""score"":15848,""evilness"":true,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535708778654,"{""uid"":1535708778654,""townSize"":""5 000–50 000 obyvatel"",""score"":16027,""evilness"":true,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535698247574,"{""uid"":1535698247574,""townSize"":""none"",""score"":15624,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535714038341,"{""uid"":1535714038341,""townSize"":""Nad 50 000 obyvatel"",""score"":15056,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535713793763,"{""uid"":1535713793763,""townSize"":""Nad 50 000 obyvatel"",""score"":15628,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535705730283,"{""uid"":1535705730283,""townSize"":""Nad 50 000 obyvatel"",""score"":16000,""evilness"":true,""gender"":""Muž"",""age"":""Do 18 let""}"
1535714161152,"{""uid"":1535714161152,""townSize"":""5 000–50 000 obyvatel"",""score"":15865,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535700440361,"{""uid"":1535700440361,""townSize"":""none"",""score"":15384,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535703434025,"{""uid"":1535703434025,""townSize"":""none"",""score"":15835,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535714785311,"{""uid"":1535714785311,""townSize"":""Nad 50 000 obyvatel"",""score"":15891,""evilness"":false,""gender"":""Žena"",""age"":""18–35 let""}"
1535714145749,"{""uid"":1535714145749,""townSize"":""Nad 50 000 obyvatel"",""score"":16268,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535705628469,"{""uid"":1535705628469,""townSize"":""5 000–50 000 obyvatel"",""score"":15727,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535707360573,"{""uid"":1535707360573,""townSize"":""Nad 50 000 obyvatel"",""score"":15839,""evilness"":true,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535708968436,"{""uid"":1535708968436,""townSize"":""none"",""score"":15113,""evilness"":false,""gender"":""none"",""age"":""none""}"
1535715395336,"{""uid"":1535715395336,""townSize"":""Nad 50 000 obyvatel"",""score"":16000,""evilness"":true,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535708024931,"{""uid"":1535708024931,""townSize"":""Nad 50 000 obyvatel"",""score"":15838,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535707820932,"{""uid"":1535707820932,""townSize"":""none"",""score"":15374,""evilness"":true,""gender"":""none"",""age"":""none""}"
1535700605998,"{""uid"":1535700605998,""townSize"":""none"",""score"":15697,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535714965357,"{""uid"":1535714965357,""townSize"":""Nad 50 000 obyvatel"",""score"":16196,""evilness"":true,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535707458279,"{""uid"":1535707458279,""townSize"":""Pod 5 000 obyvatel"",""score"":16187,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535704809226,"{""uid"":1535704809226,""townSize"":""none"",""score"":15669,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535712550530,"{""uid"":1535712550530,""townSize"":""5 000–50 000 obyvatel"",""score"":15881,""evilness"":false,""gender"":""Muž"",""age"":""18–35 let""}"
1535711187656,"{""uid"":1535711187656,""townSize"":""Nad 50 000 obyvatel"",""score"":16243,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535705856117,"{""uid"":1535705856117,""townSize"":""Nad 50 000 obyvatel"",""score"":15516,""evilness"":false,""gender"":""Muž"",""age"":""18–35 let""}"
1535704023236,"{""uid"":1535704023236,""townSize"":""none"",""score"":15799,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535704983819,"{""uid"":1535704983819,""townSize"":""none"",""score"":15347,""evilness"":false,""gender"":""Muž"",""age"":""Do 18 let""}"
1535714954578,"{""uid"":1535714954578,""townSize"":""Nad 50 000 obyvatel"",""score"":15678,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535701169192,"{""uid"":1535701169192,""townSize"":""none"",""score"":15392,""evilness"":true,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535709927654,"{""uid"":1535709927654,""townSize"":""none"",""score"":15618,""evilness"":true,""gender"":""none"",""age"":""none""}"
1535704832222,"{""uid"":1535704832222,""townSize"":""none"",""score"":15985,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535709078450,"{""uid"":1535709078450,""townSize"":""Nad 50 000 obyvatel"",""score"":14636,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535704246951,"{""uid"":1535704246951,""townSize"":""none"",""score"":15128,""evilness"":true,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535703944793,"{""uid"":1535703944793,""townSize"":""none"",""score"":16015,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535708279100,"{""uid"":1535708279100,""townSize"":""5 000–50 000 obyvatel"",""score"":15973,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535713457156,"{""uid"":1535713457156,""townSize"":""Pod 5 000 obyvatel"",""score"":15654,""evilness"":true,""gender"":""Muž"",""age"":""Do 18 let""}"
1535708560611,"{""uid"":1535708560611,""townSize"":""none"",""score"":14224,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535710349610,"{""uid"":1535710349610,""townSize"":""Pod 5 000 obyvatel"",""score"":16000,""evilness"":true,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535699494535,"{""uid"":1535699494535,""townSize"":""none"",""score"":15089,""evilness"":true,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535699051948,"{""uid"":1535699051948,""townSize"":""none"",""score"":16009,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535701630289,"{""uid"":1535701630289,""townSize"":""none"",""score"":14421,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535707083776,"{""uid"":1535707083776,""townSize"":""Nad 50 000 obyvatel"",""score"":15895,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535707535890,"{""uid"":1535707535890,""townSize"":""Pod 5 000 obyvatel"",""score"":15156,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535705400165,"{""uid"":1535705400165,""townSize"":""5 000–50 000 obyvatel"",""score"":16152,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535702101827,"{""uid"":1535702101827,""townSize"":""none"",""score"":15504,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535712877415,"{""uid"":1535712877415,""townSize"":""Nad 50 000 obyvatel"",""score"":15825,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535709228560,"{""uid"":1535709228560,""townSize"":""Nad 50 000 obyvatel"",""score"":15535,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535703829280,"{""uid"":1535703829280,""townSize"":""none"",""score"":14313,""evilness"":false,""gender"":""Muž"",""age"":""18–35 let""}"
1535704211678,"{""uid"":1535704211678,""townSize"":""none"",""score"":15805,""evilness"":true,""gender"":""Muž"",""age"":""Přes 35 let""}"
1535706346549,"{""uid"":1535706346549,""townSize"":""Nad 50 000 obyvatel"",""score"":16006,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535701655756,"{""uid"":1535701655756,""townSize"":""none"",""score"":15232,""evilness"":false,""gender"":""Žena"",""age"":""18–35 let""}"
1535709620285,"{""uid"":1535709620285,""townSize"":""Nad 50 000 obyvatel"",""score"":15503,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535711354912,"{""uid"":1535711354912,""townSize"":""5 000–50 000 obyvatel"",""score"":15493,""evilness"":true,""gender"":""Žena"",""age"":""18–35 let""}"
1535714421801,"{""uid"":1535714421801,""townSize"":""none"",""score"":14442,""evilness"":true,""gender"":""none"",""age"":""none""}"
1535709706340,"{""uid"":1535709706340,""townSize"":""Nad 50 000 obyvatel"",""score"":15291,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535715148151,"{""uid"":1535715148151,""townSize"":""Pod 5 000 obyvatel"",""score"":15863,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535711581967,"{""uid"":1535711581967,""townSize"":""5 000–50 000 obyvatel"",""score"":15414,""evilness"":true,""gender"":""Muž"",""age"":""18–35 let""}"
1535699431771,"{""uid"":1535699431771,""townSize"":""none"",""score"":14259,""evilness"":false,""gender"":""Muž"",""age"":""Přes 35 let""}"
